ID(von)	ID(nach)	Distanz
4	1841	0.2647640458974727
1841	2555	0.2789265136196267
2555	573	0.17029386365926572
573	2341	0.28017851452244136
2341	566	0.4729693436154198
566	1962	0.47127486671793006
1962	1422	0.2863564212655213
1422	1092	0.058309518948452675
1092	1114	0.10295630140987247
1114	1189	0.3101612483854171
1189	1903	0.12165525060596297
1903	106	0.060827625302984696
106	626	0.5700877125495676
626	183	0.12369316876852718
183	2340	0.24083189157584092
2340	1797	0.26248809496813325
1797	1438	0.14142135623731025
1438	2729	0.3361547262794346
2729	167	0.23259406699226154
167	1110	0.5032891812864653
1110	1777	0.06708203932499306
1777	2407	0.10295630140987247
2407	1776	0.0583095189484542
1776	2362	0.2353720459187962
2362	1402	0.31016124838541687
1402	867	0.7766595135579021
867	1884	0.20518284528683126
1884	600	0.25495097567963865
600	989	0.1868154169226949
989	180	0.2433105012119309
180	1053	0.07280109889280437
1053	1339	0.5600892785976185
1339	2496	0.05
2496	1461	0.04472135954999484
1461	1673	0.12206555615733836
1673	1879	0.07810249675906875
1879	2761	0.1104536101718725
2761	1749	0.2109502310972907
1749	318	0.5385164807134467
318	209	0.10295630140987196
209	2012	0.5188448708429148
2012	2255	0.2121320343559635
2255	2152	0.12999999999999723
2152	60	0.05830951894845633
60	597	0.12165525060596415
597	2476	0.23430749027719963
2476	1198	0.430116263352131
1198	809	0.40792156108742283
809	1183	0.2009975124224206
1183	1584	1.1275194011634562
1584	1079	0.28017851452244136
1079	2731	0.810061726043146
2731	1936	0.00999999999999801
1936	1309	0.010000000000005116
1309	478	0.1746424919657333
478	5	0.2773084924772398
5	2721	0.18384776310850404
2721	392	0.23345235059857752
392	2831	0.8381527307120115
2831	2758	0.35000000000000087
2758	1055	0.18110770276274812
1055	1717	0.4024922359499619
1717	2238	0.13928388277184006
2238	767	0.885889383614005
767	723	0.15132745950421408
723	2488	0.2039607805437142
2488	1969	0.9470480452437418
1969	1378	0.17204650534085383
1378	2072	0.7278049189171498
2072	1668	0.18027756377320053
1668	333	0.31575306807693404
333	19	0.6928924880527988
19	2480	0.478852795752517
2480	2063	0.6381222453417523
2063	1481	0.11045361017187186
1481	456	0.482597140480547
456	2134	0.07071067811865261
2134	691	0.11401754250991386
691	2807	0.0583095189484507
2807	602	0.08544003745318014
602	2376	0.11045361017187211
2376	1915	0.13601470508735408
1915	2114	0.03162277660168565
2114	439	0.2416609194718971
439	1008	0.4976946855251748
1008	25	0.08602325267042825
25	246	0.25179356624028343
246	1556	0.16552945357246812
1556	1509	0.19209372712298858
1509	300	0.4427188724235679
300	563	0.4123105625617695
563	2842	0.0943398113205646
2842	2646	0.11704699910719626
2646	1078	0.7017834423809105
1078	1173	0.1029563014098685
1173	2817	0.12369316876852718
2817	1896	0.1886796226411292
1896	571	0.3671511950137165
571	2308	0.650076918525806
2308	408	0.22671568097509168
408	1076	0.8421401308570883
1076	2683	0.10198039027185597
2683	2092	0.2126029162546908
2092	2825	0.3008321791298273
2825	496	0.24186773244895685
496	163	0.4201190307519947
163	1468	0.5103920062069934
1468	930	0.15811388300841756
930	774	0.23345235059857197
774	1454	0.8528774824088172
1454	235	0.7510659092250159
235	2827	0.22135943621178747
2827	549	0.4031128874149277
549	402	0.7561084578286373
402	421	0.25019992006393604
421	2313	0.6107372593840983
2313	2682	0.4947726750741165
2682	1153	0.2915475947422671
1153	2176	0.31384709652950393
2176	1096	0.10816653826391688
1096	2635	0.7400000000000028
2635	271	0.2865309756378883
271	965	0.049999999999998934
965	216	0.3748332962798258
216	2671	0.8499999999999993
2671	1960	0.09055385138137381
1960	1146	0.434165866921848
1146	446	0.05
446	2366	0.8502352615599987
2366	901	0.32062439083762845
901	2318	0.42720018726587533
2318	853	0.776208734813
853	1523	0.18027756377320123
1523	277	0.5445181356024802
277	1067	0.5909314681077663
1067	2658	0.03162277660167807
2658	2542	0.6868041933477149
2542	73	0.7017834423809091
73	2880	0.5953990258641713
2880	2667	0.960832971957146
2667	2482	0.44011362169330553
2482	2291	0.21023796041628537
2291	2207	0.35777087639996824
2207	1044	1.2229881438509533
1044	587	0.020000000000003126
587	2832	0.5015974481593786
2832	939	0.07071067811865475
939	2199	0.14000000000000057
2199	905	0.11401754250991666
905	2901	0.7080254232723524
2901	142	0.22472205054244093
142	796	0.3306055050963291
796	1126	0.6708203932499385
1126	1614	0.28844410203712084
1614	1218	0.25961509971494345
1218	1445	0.0800000000000054
1445	77	0.5600000000000005
77	2718	1.2182364302548179
2718	2756	0.18681541692270082
2756	1108	0.5261178575186355
1108	1993	0.268328157299977
1993	779	0.3546829570193693
779	282	0.1280624847486526
282	2338	0.3162277660168376
2338	1831	0.8438009243891652
1831	1705	0.223606797749975
1705	522	0.3231098884280726
522	2453	0.16763054614239853
2453	2746	0.9308598175880186
2746	542	0.6365532185135822
542	389	0.5560575509783154
389	2034	0.1878829422805616
2034	2780	0.8417244204607588
2780	2581	0.12369316876853105
2581	69	0.38470768123342625
69	2778	0.35014282800023333
2778	1598	0.7605918747922565
1598	308	1.0656922632730357
308	974	0.8908984229416942
974	415	1.0042410069301086
415	2489	2.6960155785900057
2489	2910	1.8480800848448082
2910	2659	1.9375241933973313
2659	472	3.7124789561693143
472	903	0.12529964086141643
903	2219	2.036663938896154
2219	1576	2.1833002542023374
1576	375	5.8872744118140075
375	1535	1.5864425612041568
1535	822	8.902162658590328
822	2573	0.10049875621120906
2573	790	0.4809365862564424
790	745	0.32649655434628955
745	254	1.3678084661238221
254	2350	0.19104973174542775
2350	1682	1.0100000000000016
1682	1350	0.8646964785403024
1350	986	0.17720045146669264
986	936	1.0041912168506542
936	1365	3.1100643080167973
1365	2076	0.12727922061358088
2076	866	0.031622776601684804
866	459	0.4071854614300443
459	218	0.11180339887498948
218	2275	0.20591260281974047
2275	948	0.9633275663033843
948	191	1.0195096860746302
191	2387	0.39051248379533254
2387	899	0.9055385138137422
899	1290	0.17888543819998573
1290	1073	2.372172000509237
1073	2457	9.066427080167799
2457	1525	15.541460677812752
1525	292	7.064028595638613
292	2433	4.192433660775086
2433	2697	7.502812805874875
2697	380	7.778341725586503
380	1168	1.930388561922186
1168	1681	6.450124029815236
1168	2101	16.383921996884634
2101	1714	4.100256089563185
1714	1381	8.335478390590433
1381	1653	11.335559095165975
1653	1278	4.271767783950808
1278	612	7.3642446998996425
612	1630	17.982597142793367
1630	1732	14.62098833868627
1732	1246	9.579003079652916
1246	1166	9.24320831746207
1166	265	16.207828355458357
265	1642	13.68925491033022
1642	1190	2.8172681803477597
1190	1843	11.223658048960685
1843	521	4.006706877224734
521	1138	8.542798136442185
1138	486	6.08989326671658
486	1977	2.243211982849592
1977	2518	0.036055512754640605
2518	1263	0.14866068747318464
1263	1382	11.207430570831123
1382	1758	10.010004995003754
1758	2571	2.9496609974707333
2571	1016	16.45914335559419
1263	463	17.04892078695892
1278	1212	15.16379899629377
1212	2094	0.8645229898620439
2094	2395	3.874183785005558
2395	2598	18.209667761933495
