#TF	target
Tbf1	YFR040W
Tbf1	YMR194C-A
Tbf1	YMR247C
Tbf1	YPR092W
Tbf1	YDR525W-A
Tbf1	YJR114W
Tbf1	YLR462W
Tbf1	YKL211C
Tbf1	YCL016C
Tbf1	YGR169C-A
Tbf1	YKR093W
Tbf1	YJL103C
Tbf1	YGR030C
Tbf1	YGL229C
Tbf1	YKL059C
Tbf1	YHR151C
Tbf1	YOR222W
Tbf1	YDR471W
Tbf1	Q0297
Tbf1	YPL189W
Tbf1	YHR007C-A
Tbf1	YOR028C
Tbf1	YOL017W
Tbf1	YOR271C
Tbf1	YHR005C
Tbf1	YDR076W
Tbf1	YCR065W
Tbf1	YLR057W
Tbf1	YLR154C
Tbf1	YMR303C
Tbf1	YDL128W
Tbf1	YJL141C
Tbf1	YLR299W
Tbf1	YER012W
Tbf1	YDR277C
Tbf1	YJR009C
Tbf1	YLR007W
Tbf1	Q0110
Tbf1	YKL063C
Tbf1	YER013W
Tbf1	YKR090W
Tbf1	YCR107W
Tbf1	YOL052C
Tbf1	YHR152W
Tbf1	YKL173W
Tbf1	YDL074C
Tbf1	YDR543C
Tbf1	YKR080W
Tbf1	YMR171C
Tbf1	YMR305C
Tbf1	YLR349W
Tbf1	YLR093C
Tbf1	YLR248W
Tbf1	YDL111C
Tbf1	YPR148C
Tbf1	YDR542W
Tbf1	YGL012W
Tbf1	YIR018C-A
Tbf1	YLR412C-A
Tbf1	YJR115W
Tbf1	YLR154W-C
Tbf1	YHL042W
Tbf1	YGL076C
Tbf1	YGL178W
Tbf1	YOR145C
Tbf1	YDR358W
Tbf1	YDL202W
Tbf1	YLR249W
Tbf1	YMR195W
Tbf1	YOR027W
Tbf1	YFL032W
Tbf1	YDL203C
Tbf1	YBR150C
Tbf1	YAR075W
Tbf1	YCR085W
Tbf1	YLR018C
Tbf1	YKR025W
Tbf1	YKR089C
Tbf1	YGL228W
Tbf1	YMR314W
Tbf1	YER054C
Tbf1	YOR226C
Tbf1	YGR278W
Tbf1	YGL088W
Tbf1	YOR336W
Tbf1	YIL119C
Tbf1	YBR037C
Tbf1	YPR145W
Tbf1	YEL074W
Tbf1	YDR155C
Tbf1	YHR007C
Tbf1	YMR290W-A
Tbf1	YDR544C
Tbf1	YOL060C
Tbf1	YOR345C
Tbf1	YLR109W
Tbf1	YKR079C
Tbf1	YGR180C
Tbf1	YHR141C
Tbf1	YKR059W
Tbf1	YDR472W
Tbf1	YDR152W
Tbf1	YDR102C
Tbf1	YAL029C
Tbf1	YGR029W
Tbf1	YPR004C
Tbf1	YMR043W
Tbf1	YGL263W
Tbf1	YBR279W
Tbf1	YHR095W
Tbf1	YMR302C
Tbf1	YBR278W
Tbf1	YOR325W
Tbf1	YGR193C
Tbf1	YPR184W
Tbf1	YML018C
Tbf1	YLR219W
Tbf1	YLR455W
Tbf1	YML059C
Tbf1	YBR082C
Tbf1	Q0050
Tbf1	YHR216W
Tbf1	YER053C-A
Tbf1	YNL024C-A
Tbf1	YHR155W
Tbf1	YBL073W
Tbf1	YDL170W
Tbf1	YPR093C
Tbf1	YFR057W
Tbf1	YDR525W
Tbf1	Q0275
Tbf1	YKL097C
Tbf1	YMR296C
Tbf1	YBR157C
Tbf1	YER168C
Tbf1	YHR206W
Tbf1	YJR110W
Tbf1	YPL117C
Tbf1	YNL025C
Tbf1	YFR018C
Tbf1	YGR170W
Tbf1	YPL143W
Tbf1	YLL013C
Tbf1	YNL277W-A
Tbf1	YLR296W
Tbf1	YKL120W
Tbf1	YML007C-A
Tbf1	YJL133C-A
Tbf1	YHR096C
Tbf1	YDR488C
Tbf1	YGL218W
Tbf1	YKL082C
Tbf1	YLL065W
Tbf1	YJL020C
Tbf1	YPL062W
Tbf1	YKR042W
Tbf1	YJL047C
Tbf1	YKL172W
Tbf1	YPL214C
Tbf1	YML055W
Tbf1	YIL131C
Tbf1	YKL044W
Tbf1	YGR222W
Tbf1	YJR010W
Tbf1	YEL063C
Tbf1	YBL033C
Tbf1	YLR456W
Tbf1	YGR133W
Tbf1	YML035C
Tbf1	YIR019C
Tbf1	YBR038W
Tbf1	YDR357C
Tbf1	YIL055C
Tbf1	YGL177W
Tbf1	YMR183C
Tbf1	YJL047C-A
Tbf1	YNL065W
Tbf1	YER189W
Tbf1	YOR157C
Tbf1	YGR060W
Tbf1	YOL035C
Tbf1	YLR461W
Tbf1	YIR042C
Tbf1	YBL080C
Tbf1	YGR294W
Tbf1	YKL015W
Tbf1	YNL288W
Tbf1	YMR241W
Tbf1	YOR147W
Tbf1	YMR182W-A
Tbf1	YBR060C
Tbf1	YPL140C
Tbf1	YKL109W
Tbf1	YPL258C
Tbf1	YDL242W
Tbf1	YHR094C
Tbf1	YMR297W
Tbf1	YLR332W
Tbf1	YBL032W
Tbf1	YGL056C
Tbf1	YPR029C
Tbf1	YMR315W
Tbf1	YGL254W
Tbf1	YJL104W
Tbf1	YHR177W
Tbf1	YDR276C
Tbf1	YDR011W
Tbf1	YNL015W
Tbf1	YCL005W-A
Tbf1	YKL062W
Tbf1	YBR054W
Tbf1	YDL075W
Tbf1	YOR272W
Tbf1	YLR312C
Tbf1	YGR296W
Tbf1	YMR320W
Tbf1	YOR030W
Tbf1	YMR240C
Tbf1	YEL060C
Tbf1	YDL171C
Tbf1	YLR220W
Tbf1	YPL025C
Tbf1	YOL051W
Tbf1	YAL039C
Tbf1	YMR243C
Tbf1	YDL183C
Tbf1	YMR013W-A
Tbf1	YHR176W
Tbf1	YOR327C
Tbf1	YLR130C
Tbf1	YGR221C
Tbf1	YCR012W
Tbf1	YIL133C
Tbf1	YHR140W
Tbf1	YNR017W
Tbf1	YAL005C
Tbf1	YDR041W
Tbf1	YOR246C
Tbf1	YLR095C
Tbf1	YNL338W
Tbf1	YGL006W-A
Tbf1	YJR129C
Tbf1	YLR131C
